iter	Passed	Remaining
377	1006	1656
378	1009	1653
379	1011	1649
380	1013	1647
381	1018	1647
382	1020	1643
383	1022	1640
384	1024	1636
385	1027	1634
386	1031	1633
387	1034	1632
388	1037	1629
389	1039	1625
390	1043	1625
391	1046	1622
392	1047	1618
393	1049	1614
394	1053	1613
395	1055	1609
396	1068	1622
397	1073	1623
398	1075	1620
399	1079	1618
400	1081	1615
401	1083	1611
402	1085	1607
403	1086	1603
404	1088	1599
405	1095	1602
406	1097	1599
407	1100	1597
408	1104	1595
409	1105	1591
410	1107	1586
411	1108	1582
412	1113	1582
413	1115	1578
414	1117	1575
415	1119	1571
416	1123	1570
417	1124	1566
418	1126	1561
419	1128	1557
420	1130	1554
421	1134	1553
422	1136	1550
423	1140	1549
424	1142	1546
425	1145	1543
426	1147	1540
427	1149	1535
428	1152	1534
429	1154	1529
430	1155	1525
431	1157	1521
432	1158	1517
433	1161	1514
434	1162	1510
435	1164	1506
436	1165	1501
437	1167	1497
438	1169	1494
439	1170	1489
440	1171	1485
441	1173	1480
442	1174	1477
443	1176	1472
444	1178	1469
